date,R0,R20,R65,R80,D0,D20,D65,D80,H0,H20,H65,H80,R0,R20,R65,R80,DH0,DH20,DH65,DH80,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,BRIGITATTACK,FEAR,BETAFACTOR,BFACTOR,F0,F20,F65,F80,FALL,S0,S20,S65,S80,SALL
2021-03-22,218192.454819768,1008529.99477655,174326.227214725,63186.4154616467,4,2388,11322,11741,1111,33876,48412,30621,1067,29051,34142,18341,4,2162,10591,10740,561636.389604491,902598.702668204,3,49,1,0,1.04572597546155,0.362572449214867,0.486653379395354,1,0.49,1,2.77141357168285,0,0.037158196255316,0.215240948491196,0.282937829186741,0.070700840946164,0,0.031122976689506,0.025151588374754,0.418160708205209,0.035056493215456
2021-03-23,219419.371129271,1013725.04581679,175256.776915683,63370.8674068254,4,2427,11416,11799,1117,34151,48747,30745,1077,29284,34404,18432,4,2180,10665,10808,564416.805830295,907355.255438278,5,59,2,1,1.44753149521597,0.36293258826813,0.485798820337417,1,0.49,1,2.75638922895681,0,0.037544903240043,0.224671322522269,0.27410429337429,0.07224165516986,0,0.032062495493133,0.026885258422407,0.432852522690416,0.036294484193336
2021-03-24,220400.154107853,1018462.05150648,176092.8542089,63534.7140558624,4,2452,11513,11858,1125,34413,49040,30881,1083,29528,34646,18539,4,2205,10753,10870,566909.785622993,911579.988256099,1,47,2,1,1.30609933897179,0.364793336949956,0.484944261279479,1,0.49,1,2.74136488623077,0,0.037793040575089,0.233202110076501,0.265210400443788,0.073588148313713,0,0.033156691452494,0.029616931115113,0.447681830084766,0.037755218166103
2021-03-25,221408.822553784,1022845.27901561,176944.509066264,63726.2541927019,4,2476,11594,11911,1131,34663,49359,31009,1087,29816,34921,18646,4,2224,10845,10920,569300.686464765,915624.178363596,1,45,1,0,1.2164552236653,0.365830817044838,0.484089702221541,1,0.49,1,2.72634054350472,0,0.038005140243978,0.241010623594029,0.252812506951165,0.074685803601622,0,0.034296306340095,0.032595375023397,0.466612429320682,0.039417842200147
2021-03-26,222440.687494068,1026919.55804521,177718.407771477,63870.7152843417,4,2497,11685,11951,1137,34904,49658,31123,1097,30095,35187,18771,4,2245,10925,10977,571535.501709945,919413.866885151,0,45,1,0,1.25985480196878,0.368002339705514,0.483662419774831,1,0.49,1,2.71061068720653,0,0.038432742693518,0.246573041439211,0.243198797516426,0.075653258093398,0,0.035525195341313,0.036020281391675,0.481531892726818,0.041045025598145
2021-03-27,223525.209708213,1030477.35429576,178439.544620362,64041.1402037072,4,2519,11772,12021,1148,35163,49969,31237,1106,30361,35463,18864,4,2265,11019,11042,573588.527274184,922894.721553863,1,31,0,0,0.709990067476446,0.365525832838239,0.48323513732812,1,0.49,1,2.69488083090833,0,0.038558799000417,0.248968313535514,0.241189360290875,0.076089314398708,0,0.03580634023976,0.037343793118266,0.484975133386631,0.041494626068093
2021-03-28,224488.404314714,1033563.62650338,179220.513220228,64174.194113314,4,2539,11835,12055,1154,35386,50265,31339,1113,30640,35735,18948,4,2289,11103,11094,575439.023054151,926007.715097489,1,17,0,0,0.34572452726821,0.367090843781402,0.482807854881409,1,0.49,1,2.67915097461014,0,0.038691624835398,0.249920645393757,0.239118939578217,0.076286323290855,0,0.036060001989498,0.038466632692975,0.487761222483384,0.041878768898906
2021-03-29,225611.796778834,1037853.54041608,180065.169208288,64364.7109639542,4,2562,11929,12114,1158,35655,50557,31443,1121,30927,35981,19016,4,2304,11181,11131,577859.451703122,930035.765664031,1,43,1,0,1.06552254731172,0.366798702264724,0.482380572434699,1,0.47,1,2.66342111831194,0,0.038342306615312,0.252003664621017,0.230790538462127,0.076349028536679,0,0.037473212630822,0.043918852860834,0.500433497785658,0.043803036467666
2021-03-30,226530.725353432,1041830.41053116,180797.892065869,64495.1221881474,4,2591,12007,12177,1161,35910,50826,31543,1127,31199,36219,19087,4,2324,11271,11186,580033.314201467,933620.835937145,1,47,1,0,1.487602015856,0.369062841160993,0.481953289987988,1,0.47,1,2.64769126201375,0,0.038209970154082,0.255196622511031,0.226259383467018,0.076884903428968,0,0.039059373052647,0.050246534382971,0.510994737112065,0.045860931131176
2021-03-31,227357.74428892,1045495.91398664,181535.180194613,64640.1869923831,4,2605,12091,12230,1171,36142,51084,31621,1135,31445,36456,19168,4,2348,11343,11231,582065.330624453,936963.694838106,3,43,0,0,1.33733334575663,0.370123915644296,0.481526007541277,1,0.47,1,2.63196140571556,0,0.037869336142688,0.255336343545735,0.219623151598293,0.076793014617008,0,0.040766864445673,0.058956915854505,0.523412875264183,0.048379834596027
