Date,RA,RS,R,D,H,HC,I,Contacts,gammared,Calls,Positivity,Parks,Pdet,Dayadjust
30/08/2020,8707.32499130762,15789.6750086924,24497,426,1807,458,33.2857142857143,1.04587901173824,0.470983699608508,1061.85714285714,0.0449570661611254,96.65306122449,0.22438776,0.515922546930082
31/08/2020,8795.74544585307,15952.2545541469,24748,427,1837,459,36.1428571428571,1.04698133638092,0.471922850877942,1112.85714285714,0.0504184903632036,93.6734693877552,0.2436,0.861111440581479
01/09/2020,8965.63671145022,16281.3632885498,25247,428,1844,465,36,1.04808366102359,0.472862002147376,1136,0.0510340766909546,90.6938775510205,0.25796117,1.28294967556209
02/09/2020,9180.66994407862,16722.3300559214,25903,428,1869,465,35.4285714285714,1.04918598566627,0.47380115341681,1144.42857142857,0.0531431144945012,87.7142857142857,0.25705357,1.26720869749166
03/09/2020,9438.0930210017,17143.9069789983,26582,432,1904,470,36.8571428571429,1.05028831030895,0.474740304686245,1219.57142857143,0.0545776676653607,83.9795918367347,0.24286885,0.968734273649153
04/09/2020,9726.90087513914,17647.0991248609,27374,435,1935,479,37.5714285714286,1.05200994789744,0.47749266129464,1245.42857142857,0.0571962929879411,80.2448979591837,0.25637795,1.6349994687851
05/09/2020,9872.24147459418,18009.7585254058,27882,440,1949,483,37.4285714285714,1.05373158548594,0.480245017903036,1267.42857142857,0.0621263932757316,76.5102040816327,0.27679389,0.874130120772281
06/09/2020,10016.3348079275,18269.6651920725,28286,443,1965,490,37.4285714285714,1.05545322307443,0.482997374511432,1351,0.0655466161855182,72.7755102040816,0.27513514,0.569552130286206
07/09/2020,10186.7064587486,18659.2935412514,28846,445,2008,499,37.5714285714286,1.05717486066293,0.485749731119827,1359.85714285714,0.0700840632531891,69.0408163265306,0.29305195,0.737692504441851
08/09/2020,10572.3638741866,19434.6361258134,30007,450,2044,498,37.8571428571429,1.05889649825142,0.488502087728223,1424.71428571429,0.072994472456061,65.3061224489796,0.3109816,1.22327889422033
09/09/2020,10959.9484895712,20206.0515104288,31166,453,2071,508,39.5714285714286,1.06061813583992,0.491254444336619,1533.28571428571,0.0793365971040949,61.5714285714286,0.30298343,1.33161559992479
10/09/2020,11456.2276773885,21086.7723226115,32543,458,2106,513,41.5714285714286,1.06233977342841,0.494006800945015,1677.14285714286,0.0811583659199531,64.8979591836735,0.28790244,1.0662873185272
11/09/2020,11939.5030680135,22050.4969319865,33990,461,2166,519,38.5714285714286,1.05557366896326,0.496709437048169,1804.28571428571,0.0810998922609002,68.2244897959184,0.30461905,1.58658310080936
