date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-04-24,692.184289801417,5257.05394978021,1052.40750019086,583.559121568713,0,21,74,123,394.365142901656,664.718067105181,291.265318982052,236.633096585372,15.1964285714286,159.817857142857,6.09132653061224,36.4704081632653,2036.84908519444,5548.35577614675,0,2,0,0,1.07212474793632,0.0965303575574562,0.455600133315056,0.333333333333333,0.375,0.955746542655985,0.179,0.179,0.179,0.179
2020-04-25,695.784528241092,5267.85466509924,1052.40750019086,584.459181178631,0,21,76,125,397.147202498204,672.136892695976,295.486481290834,244.020130625741,15.1964285714286,163.817857142857,6.09132653061224,36.4704081632653,2042.90871005095,5557.59716465886,0,2,0,0,0.652705243598503,0.0672403381642501,0.457660564949878,0.333333333333333,0.37,0.955746542655985,0.179,0.179,0.179,0.179
2020-04-26,695.784528241092,5298.05544777499,1056.72189771596,587.33544619537,0,21,77,126,400.281332408722,678.405152517013,300.736512583483,255.832701034201,15.1964285714286,164.817857142857,6.09132653061224,37.4704081632653,2057.66539555153,5580.23192437589,0,0,0,0,0.870773260911131,0.111509775665987,0.4597209965847,0.333333333333333,0.365,0.955746542655985,0.179,0.179,0.179,0.179
2020-04-27,698.082184679119,5324.4784968123,1061.31721059202,589.633102633397,0,21,78,126,403.071084515918,688.634243576731,307.153259254545,262.249447705263,15.1964285714286,165.817857142857,6.09132653061224,37.4704081632653,2072.0887759288,5601.42221878803,0,0,0,0,1.0198270137656,0.0918749999999896,0.461781428219522,0.333333333333333,0.36,0.955746542655985,0.179,0.179,0.179,0.179
2020-04-28,703.099126212642,5384.68179521457,1065.33076381884,593.646655860215,0,22,79,128,406.627172240252,692.901548845932,311.144770301881,268.901966117489,16.2168367346939,168.879081632653,6.09132653061224,37.4704081632653,2100.2870940667,5646.47124703957,0,1,0,0,1.2789233981245,0.133622159090898,0.463841859854344,0.333333333333333,0.355,0.955746542655985,0.179,0.179,0.179,0.179
2020-04-29,708.303205422796,5424.08410923431,1074.99548235198,595.87697552171,0,22,81,131,408.103995108068,694.378371713748,314.523358159211,276.62445264853,16.2168367346939,173.98112244898,6.09132653061224,37.4704081632653,2121.92586933547,5681.33390319533,0,1,0,0,1.03520821705615,0.0947329452614239,0.465902291489165,0.333333333333333,0.35,0.955746542655985,0.179,0.179,0.179,0.179
2020-04-30,715.868738377934,5458.54931491883,1078.35794144315,595.87697552171,0,24,83,135,411.269581522607,701.975779108642,321.757645084053,286.752454343309,18.2576530612245,180.103571428571,6.09132653061224,37.4704081632653,2139.34749703762,5709.305473224,0,4,0,0,1.10094680876459,0.0765526883830341,0.467962723123987,0.333333333333333,0.345,0.955746542655985,0.179,0.179,0.179,0.179
2020-05-01,721.238251560307,5487.18671855815,1084.62237348925,595.87697552171,0,25,85,140,413.293860998942,705.349578235867,324.38630139159,293.981259189035,19.2780612244898,185.205612244898,6.09132653061224,38.4908163265306,2154.31924294993,5734.60507617948,0,0,0,0,1.11103752349252,0.0908045977011361,0.478357606632071,0.342857142857143,0.34,0.95053797354474,0.179,0.179,0.179,0.179
2020-05-02,724.692737590961,5497.55017665011,1089.22835486346,598.179966208812,0,25,86,140,418.045492536804,709.150883466157,327.867157646956,297.462115444401,19.2780612244898,186.226020408163,6.09132653061224,38.4908163265306,2161.81579867412,5747.83543663923,0,1,0,0,0.695346217528982,0.0940443485086231,0.488752490140154,0.352380952380952,0.335,0.945329404433494,0.179,0.179,0.179,0.179
2020-05-03,728.733919495443,5525.83844998149,1090.57541549829,602.221148113295,0,25,87,142,418.045492536804,714.80616432552,331.320193276089,307.821222331798,19.2780612244898,187.246428571429,6.09132653061224,40.5316326530612,2176.46329916418,5770.90563392433,0,4,0,0,0.870452155900815,0.0905157342657105,0.499147373648237,0.361904761904762,0.33,0.940120835322249,0.179,0.179,0.179,0.179
