Date,RA,RS,D,I,Contacts,Masks,Dayadjust,tests,smP
13/07/2020,4389.78948185503,8737.21051814497,353,13.2857142857143,1.02604619808143,0.614429100845905,1.03090037259212,4802,100.571428571429
14/07/2020,4434.18603357917,8795.81396642083,355,12.8571428571429,1.02657682646799,0.614429100845905,1.15453762067842,4694,99.0408163265305
15/07/2020,4488.23645374724,8875.76354625276,355,13.1428571428571,1.02710745485455,0.614429100845905,1.13434032539263,4730,96.8571428571429
16/07/2020,4528.78845374724,8972.21154625276,355,14.4285714285714,1.02763808324111,0.614429100845905,1.20179482370796,4727,95.8775510204081
17/07/2020,4595.70021845312,9035.29978154688,358,15.8571428571429,1.02567589911001,0.612058290574078,0.858054733726927,2334,97.0816326530611
18/07/2020,4652.20021845312,9091.79978154688,358,16.1428571428571,1.02371371497892,0.609687480302251,0.758642375695942,1830,98.4081632653062
19/07/2020,4690.33581167346,9143.66418832654,359,17.5714285714286,1.02175153084782,0.607316670030423,0.77269665952864,5785,100.69387755102
20/07/2020,4758.40045045673,9228.59954954327,359,18.2857142857143,1.01978934671672,0.604945859758596,1.03090037259212,6089,104.530612244898
21/07/2020,4854.51539298546,9358.48460701454,360,18.5714285714286,1.01782716258562,0.602575049486769,1.15453762067842,6609,111.204081632653
22/07/2020,4961.22772175259,9497.77227824741,364,18.1428571428571,1.01586497845452,0.600204239214941,1.13434032539263,5557,120.061224489796
23/07/2020,5082.64403076546,9606.35596923454,365,19.5714285714286,1.01390279432342,0.597833428943114,1.20179482370796,6238,130.163265306123
24/07/2020,5215.68892872465,9754.31107127536,369,20.7142857142857,1.02011048571121,0.596679521684827,0.858054733726927,3337,142.367346938776
25/07/2020,5264.81392872465,9836.18607127536,369,22,1.026318177099,0.595525614426541,0.758642375695942,1778,154.959183673469
26/07/2020,5318.73985465057,9894.26014534943,371,23.4285714285714,1.03252586848678,0.594371707168254,0.77269665952864,6527,167.367346938776
27/07/2020,5397.36300005117,10007.6369999488,373,25.4285714285714,1.03873355987457,0.593217799909967,1.03090037259212,7877,178.755102040816
28/07/2020,5496.95956657477,10191.0404334252,374,26.4285714285714,1.04494125126236,0.59206389265168,1.15453762067842,7492,188.795918367347
29/07/2020,5620.62623324144,10361.3737667586,374,27.5714285714286,1.05114894265014,0.590909985393394,1.13434032539263,7610,197.530612244898
30/07/2020,5719.14079634823,10540.8592036518,379,30.7142857142857,1.05735663403793,0.589756078135107,1.20179482370796,8178,205.34693877551
31/07/2020,5801.99793920538,10661.0020607946,382,33,1.05735663403793,0.589756078135107,0.858054733726927,4703,208.489795918367
01/08/2020,5850.60905031649,10737.3909496835,383,35,1.05735663403793,0.589756078135107,0.758642375695942,2647,211.142857142857
02/08/2020,5891.87786752079,10797.1221324792,384,35.1428571428571,1.05735663403793,0.589756078135107,0.77269665952864,7719,213.122448979592
03/08/2020,5973.16522384263,10923.8347761574,386,35.1428571428571,1.05735663403793,0.589756078135107,1.03090037259212,8391,214.632653061225
04/08/2020,6067.24126947,11107.75873053,383,35,1.05735663403793,0.589756078135107,1.15453762067842,6926,214.877551020408
05/08/2020,6154.64443152534,11263.3555684747,388,33.8571428571429,1.05735663403793,0.589756078135107,1.13434032539263,7349,213.102040816326
06/08/2020,6245.28545716637,11374.7145428336,390,30,1.05735663403793,0.589756078135107,1.20179482370796,9186,208.795918367347
07/08/2020,6385.74314947406,11563.2568505259,389,29.8571428571429,1.05735663403793,0.589756078135107,0.858054733726927,5488,208.65306122449
08/08/2020,6430.28860401951,11693.7113959805,389,28,1.05735663403793,0.589756078135107,0.758642375695942,2860,209.65306122449
09/08/2020,6465.96302262416,11776.0369773758,390,29.2857142857143,1.05735663403793,0.589756078135107,0.77269665952864,6363,211.224489795918
10/08/2020,6525.09205488223,11857.9079451178,390,29,1.05735663403793,0.589756078135107,1.03090037259212,8329,211.102040816327
11/08/2020,6627.84761043778,12044.1523895622,391,29.1428571428571,1.05735663403793,0.589756078135107,1.15453762067842,7758,211.306122448979
12/08/2020,6738.01610860628,12225.9838913937,391,31.8571428571429,1.05735663403793,0.589756078135107,1.13434032539263,7193,213.551020408164
